Nombre,Símbolo,Precio,Market_Cap,Volumen_24h
Success Kid,SKID,0.001476,128048.43128048,437296.07K
3DPass,P3D,0.0002234,127537.9127538,10294.60M
TE-FOOD,TONE,0.0001272,127218.85127219,--
Shib Original Vision,SOV,0.081196,126984.3126984,--
TRUMP IN GREENLAND,TIG,0.0001268,126818.58126819,1125788.76M
Position Exchange,POSI,0.001382,126763.52126764,1082782.52K
Engines of Fury,FURY,0.00264,126754.39126754,4495717.02M
Eliza (ai16zeliza),ELIZA,0.0001318,126719.91126720,27410207.87M
X,X,0.061345,126239.12126239,--
REGENT COIN,REGENT,0.0438,126039.95126040,90879120.74M
Black Mirror Experience,MIRROR,0.001306,125367.53125368,332853254.82M
Redbrick,BRIC,0.000532,125097.34125097,79756149.89M
Shieldeum,SDM,0.0003333,124623.31124623,1652449.56M
Eden,EDEN,0.00938,124124.73124125,92098.04K
"Duckies, the canary network for Yellow",DUCKIES,0.001852,96479.4596479,--
OptionRoom,ROOM,0.00757,94584.6594585,1876247.73K
sci-hub,SCIHUB,9.427e-05,94271.5194272,16066170.41M
Gold,GOLD,0.00573,94180.9794181,--
DeFine,DFA,0.0003652,94068.5494069,--
Visa Tokenized Stock (Ondo),Von,322.6,94054.2394054,8241882.55K
Mr. Lightspeed Creator Coin,MRLIGHTSPEED,0.0001964,93742.8693743,66268337.30M
Cheems,CHEEMS,0.092225,93614.4193614,--
henlo,HENLO,0.094683,93434.1793434,--
LAMBO,LAMBO,0.059337,93376.6193377,--
AGIX,AGX,0.001003,92881.4192881,--
Mars,MARS,9.276e-05,92763.8592764,--
Micro GPT,$MICRO,0.0001236,92707.5392708,146911.87M
Pullix,PLX,0.00111,92461.9292462,--
Govi,GOVI,0.00287,91871.6591872,120834.20M
CyberFi Token,CFi,0.02992,71828.871829,--
Aster Inu,ASTERINU,7.25e-05,71784.7471785,17327238.95M
NeurochainAI,NCN,7.615e-05,71503.371503,1146441.50B
Mettalex,MTLX,0.06324,71022.3571022,--
BabyUnicorn,BABYU,7.082e-05,70820.6470821,--
FaraLand,FARA,0.003072,70451.6570452,--
OneFinity,ONE,0.01604,70123.8970124,8468.96
SolarX,SXCH,0.000541,69648.3669648,2045737.80M
Alanyaspor Fan Token,ALA,0.03665,69644.9269645,13755375.22K
Noggles,NOGS,0.052403,69626.6669627,--
Gravity Finance,GFI,0.0001971,69449.4869449,3701.87M
Tensora,TORA,6.942e-05,69429.2969429,6349.13M
Life Crypto,LIFE,2.637e-05,69406.0669406,13460510.25M
Internxt,INXT,0.06188,69270.5569271,--
USAcoin,USACOIN,0.003458,69168.2769168,--
Uranus (SOL),ANUS,0.05631,51460.851461,--
BOSagora,BOA,8.992e-05,51417.3351417,1722251.91B
PHASMA,PHASMA,0.052067,50997.9550998,19293.05M
BSX,BSX,0.0002684,50863.4950863,--
SARAH,SARAH,8.507e-05,50841.5150842,--
8PAY,8PAY,0.0008459,50768.1250768,--
DOGEFATHER,DOGEFATHER,5.051e-05,50512.7650513,--
Sylo,SYLO,0.055034,50344.2750344,56781.12B
Striker League,MBS,8.031e-05,50229.2650229,85010.58M
Orion Money,ORION,0.0005274,50107.2150107,1156021.91M
MOODENG (moodengbnb.com),MDB,0.061545,49996.1549996,1492.14M
HODL (hodl_bnbcto),HODL,4.968e-05,49680.4149680,--
Alliance Fan Token,ALL,0.01593,49003.549004,--
AgentLayer,AGENT,5.407e-05,48813.3948813,10299190.46M
Ducky,DUCKY,0.061167,48398.7848399,--
Regret,REGRET,3.34e-05,33396.8133397,75722.65M
SONM (BEP-20),SNM,9.955e-05,33082.8733083,--
Privix new,PRIVIX,0.001572,33014.5133015,--
Wall St. Bull,WBULL,3.275e-05,32757.9832758,1163.54M
Decentral Games,DG,0.0001744,32722.8332723,--
